content,summary
什么是应用开发的指导思想？,"建议应用系统设计和开发人员在开发过程中，在开发指导思想上进行如下方面的加强：   	不仅关注SQL语句功能，而且要关注性能。即用量化手段，进行SQL语句质量控制。   	开发队伍能有层次性和专业分工。不仅按照业务模块分工，而且有专门的质量控制，尤其是SQL质量控制人员。   	加强软件开发的规范管理   	注重知识共享和传递，减少低级错误的重复性。   	强调实际测试的重要性。切忌想当然的主观推断，一切以实际应用在尽可能真实数据和环境下的测试数据为准。"
应用开发指导思想有哪些关键要素？,"建议应用系统设计和开发人员在开发过程中，在开发指导思想上进行如下方面的加强：   	不仅关注SQL语句功能，而且要关注性能。即用量化手段，进行SQL语句质量控制。   	开发队伍能有层次性和专业分工。不仅按照业务模块分工，而且有专门的质量控制，尤其是SQL质量控制人员。   	加强软件开发的规范管理   	注重知识共享和传递，减少低级错误的重复性。   	强调实际测试的重要性。切忌想当然的主观推断，一切以实际应用在尽可能真实数据和环境下的测试数据为准。"
如何理解和掌握应用开发的指导思想？,"建议应用系统设计和开发人员在开发过程中，在开发指导思想上进行如下方面的加强：   	不仅关注SQL语句功能，而且要关注性能。即用量化手段，进行SQL语句质量控制。   	开发队伍能有层次性和专业分工。不仅按照业务模块分工，而且有专门的质量控制，尤其是SQL质量控制人员。   	加强软件开发的规范管理   	注重知识共享和传递，减少低级错误的重复性。   	强调实际测试的重要性。切忌想当然的主观推断，一切以实际应用在尽可能真实数据和环境下的测试数据为准。"
应用开发指导思想是如何影响应用开发过程的？,"建议应用系统设计和开发人员在开发过程中，在开发指导思想上进行如下方面的加强：   	不仅关注SQL语句功能，而且要关注性能。即用量化手段，进行SQL语句质量控制。   	开发队伍能有层次性和专业分工。不仅按照业务模块分工，而且有专门的质量控制，尤其是SQL质量控制人员。   	加强软件开发的规范管理   	注重知识共享和传递，减少低级错误的重复性。   	强调实际测试的重要性。切忌想当然的主观推断，一切以实际应用在尽可能真实数据和环境下的测试数据为准。"
如何在实际开发中实践应用开发的指导思想？,"建议应用系统设计和开发人员在开发过程中，在开发指导思想上进行如下方面的加强：   	不仅关注SQL语句功能，而且要关注性能。即用量化手段，进行SQL语句质量控制。   	开发队伍能有层次性和专业分工。不仅按照业务模块分工，而且有专门的质量控制，尤其是SQL质量控制人员。   	加强软件开发的规范管理   	注重知识共享和传递，减少低级错误的重复性。   	强调实际测试的重要性。切忌想当然的主观推断，一切以实际应用在尽可能真实数据和环境下的测试数据为准。"
请问如何理解编程方式建议？,"建议开发人员在编程方式上采取如下策略：   	尽量采用PL/SQL的存储过程、Package等方式实现主要计算逻辑。这样将充分发挥Oracle数据库服务器的处理能力，减少网络传输，同时也提高应用系统的封装性、可移植性。   	充分发挥Oracle数据库的各种统计运算计算能力，避免在应用层进行复杂的统计运算。一方面减轻应用开发工作量，另一方面能充分利用Oracle的现成的统计运算功能，以及并行处理能力。   总之，建议不仅把Oracle当成存储和管理数据的服务器，而且也充分发挥Oracle数据库服务器内置的强大处理能力，"
在编程过程中，有哪些主要的编程方式建议？,"建议开发人员在编程方式上采取如下策略：   	尽量采用PL/SQL的存储过程、Package等方式实现主要计算逻辑。这样将充分发挥Oracle数据库服务器的处理能力，减少网络传输，同时也提高应用系统的封装性、可移植性。   	充分发挥Oracle数据库的各种统计运算计算能力，避免在应用层进行复杂的统计运算。一方面减轻应用开发工作量，另一方面能充分利用Oracle的现成的统计运算功能，以及并行处理能力。   总之，建议不仅把Oracle当成存储和管理数据的服务器，而且也充分发挥Oracle数据库服务器内置的强大处理能力，"
如何根据具体的编程实际场景选择合适的编程方式？,"建议开发人员在编程方式上采取如下策略：   	尽量采用PL/SQL的存储过程、Package等方式实现主要计算逻辑。这样将充分发挥Oracle数据库服务器的处理能力，减少网络传输，同时也提高应用系统的封装性、可移植性。   	充分发挥Oracle数据库的各种统计运算计算能力，避免在应用层进行复杂的统计运算。一方面减轻应用开发工作量，另一方面能充分利用Oracle的现成的统计运算功能，以及并行处理能力。   总之，建议不仅把Oracle当成存储和管理数据的服务器，而且也充分发挥Oracle数据库服务器内置的强大处理能力，"
对于不同的编程语言，其编程方式建议是否相同？,"建议开发人员在编程方式上采取如下策略：   	尽量采用PL/SQL的存储过程、Package等方式实现主要计算逻辑。这样将充分发挥Oracle数据库服务器的处理能力，减少网络传输，同时也提高应用系统的封装性、可移植性。   	充分发挥Oracle数据库的各种统计运算计算能力，避免在应用层进行复杂的统计运算。一方面减轻应用开发工作量，另一方面能充分利用Oracle的现成的统计运算功能，以及并行处理能力。   总之，建议不仅把Oracle当成存储和管理数据的服务器，而且也充分发挥Oracle数据库服务器内置的强大处理能力，"
编程方式建议的最主要的目的是什么？,"建议开发人员在编程方式上采取如下策略：   	尽量采用PL/SQL的存储过程、Package等方式实现主要计算逻辑。这样将充分发挥Oracle数据库服务器的处理能力，减少网络传输，同时也提高应用系统的封装性、可移植性。   	充分发挥Oracle数据库的各种统计运算计算能力，避免在应用层进行复杂的统计运算。一方面减轻应用开发工作量，另一方面能充分利用Oracle的现成的统计运算功能，以及并行处理能力。   总之，建议不仅把Oracle当成存储和管理数据的服务器，而且也充分发挥Oracle数据库服务器内置的强大处理能力，"
什么是联机业务和批处理业务系统？,"联机业务和批处理业务无论在业务操作特征，还是在技术运用方面均有很大区别：   比较项目	联机业务	批处理业务   业务特征	操作特点	日常业务操作，尤其是包含大量前台操作	后台操作，例如统计报表、大批量数据加载。单次执行访问和返回记录多。   响应速度	优先级最高，要求反应速度非常高	要求速度高、吞吐量大   吞吐量	小	大   并发访问量	非常高	不高   单笔事务的资源消耗	小	大   SQL语句类型	主要是单条或者少量插入和修改操作（DML）	主要是大量查询操作或批量DML操作   技术运用	索引类型	B*索引	全表扫描，全分区扫描   索引量	适量	多   访问方式	按索引访问	全表扫描   连接方式	Nested_loop	Hash Join   BIND变量	使用或强制使用	不使用   并行技术	使用不多	大量使用   分区技术	使用，但目标不同	使用，但目标不同   物化视图使用	少量使用	大量使用   大多数系统是联机业务和批处理相结合的混合系统。例如白天主要是联机业务，夜间主要是批处理业务。因此，首先建议对业务系统进行联机业务和批处理业务的特征分析，并针对不同业务模块，提出针对性的技术运用策略。   下面将在应用设计开发的详细规范和策略上，对上述相关技术的应用进行详细描述。"
联机业务系统和批处理业务系统的主要功能是什么？,"联机业务和批处理业务无论在业务操作特征，还是在技术运用方面均有很大区别：   比较项目	联机业务	批处理业务   业务特征	操作特点	日常业务操作，尤其是包含大量前台操作	后台操作，例如统计报表、大批量数据加载。单次执行访问和返回记录多。   响应速度	优先级最高，要求反应速度非常高	要求速度高、吞吐量大   吞吐量	小	大   并发访问量	非常高	不高   单笔事务的资源消耗	小	大   SQL语句类型	主要是单条或者少量插入和修改操作（DML）	主要是大量查询操作或批量DML操作   技术运用	索引类型	B*索引	全表扫描，全分区扫描   索引量	适量	多   访问方式	按索引访问	全表扫描   连接方式	Nested_loop	Hash Join   BIND变量	使用或强制使用	不使用   并行技术	使用不多	大量使用   分区技术	使用，但目标不同	使用，但目标不同   物化视图使用	少量使用	大量使用   大多数系统是联机业务和批处理相结合的混合系统。例如白天主要是联机业务，夜间主要是批处理业务。因此，首先建议对业务系统进行联机业务和批处理业务的特征分析，并针对不同业务模块，提出针对性的技术运用策略。   下面将在应用设计开发的详细规范和策略上，对上述相关技术的应用进行详细描述。"
如何实现联机业务和批处理业务系统？,"联机业务和批处理业务无论在业务操作特征，还是在技术运用方面均有很大区别：   比较项目	联机业务	批处理业务   业务特征	操作特点	日常业务操作，尤其是包含大量前台操作	后台操作，例如统计报表、大批量数据加载。单次执行访问和返回记录多。   响应速度	优先级最高，要求反应速度非常高	要求速度高、吞吐量大   吞吐量	小	大   并发访问量	非常高	不高   单笔事务的资源消耗	小	大   SQL语句类型	主要是单条或者少量插入和修改操作（DML）	主要是大量查询操作或批量DML操作   技术运用	索引类型	B*索引	全表扫描，全分区扫描   索引量	适量	多   访问方式	按索引访问	全表扫描   连接方式	Nested_loop	Hash Join   BIND变量	使用或强制使用	不使用   并行技术	使用不多	大量使用   分区技术	使用，但目标不同	使用，但目标不同   物化视图使用	少量使用	大量使用   大多数系统是联机业务和批处理相结合的混合系统。例如白天主要是联机业务，夜间主要是批处理业务。因此，首先建议对业务系统进行联机业务和批处理业务的特征分析，并针对不同业务模块，提出针对性的技术运用策略。   下面将在应用设计开发的详细规范和策略上，对上述相关技术的应用进行详细描述。"
联机业务系统和批处理业务系统有哪些应用场景？,"联机业务和批处理业务无论在业务操作特征，还是在技术运用方面均有很大区别：   比较项目	联机业务	批处理业务   业务特征	操作特点	日常业务操作，尤其是包含大量前台操作	后台操作，例如统计报表、大批量数据加载。单次执行访问和返回记录多。   响应速度	优先级最高，要求反应速度非常高	要求速度高、吞吐量大   吞吐量	小	大   并发访问量	非常高	不高   单笔事务的资源消耗	小	大   SQL语句类型	主要是单条或者少量插入和修改操作（DML）	主要是大量查询操作或批量DML操作   技术运用	索引类型	B*索引	全表扫描，全分区扫描   索引量	适量	多   访问方式	按索引访问	全表扫描   连接方式	Nested_loop	Hash Join   BIND变量	使用或强制使用	不使用   并行技术	使用不多	大量使用   分区技术	使用，但目标不同	使用，但目标不同   物化视图使用	少量使用	大量使用   大多数系统是联机业务和批处理相结合的混合系统。例如白天主要是联机业务，夜间主要是批处理业务。因此，首先建议对业务系统进行联机业务和批处理业务的特征分析，并针对不同业务模块，提出针对性的技术运用策略。   下面将在应用设计开发的详细规范和策略上，对上述相关技术的应用进行详细描述。"
联机业务和批处理业务系统的原理是什么？,"联机业务和批处理业务无论在业务操作特征，还是在技术运用方面均有很大区别：   比较项目	联机业务	批处理业务   业务特征	操作特点	日常业务操作，尤其是包含大量前台操作	后台操作，例如统计报表、大批量数据加载。单次执行访问和返回记录多。   响应速度	优先级最高，要求反应速度非常高	要求速度高、吞吐量大   吞吐量	小	大   并发访问量	非常高	不高   单笔事务的资源消耗	小	大   SQL语句类型	主要是单条或者少量插入和修改操作（DML）	主要是大量查询操作或批量DML操作   技术运用	索引类型	B*索引	全表扫描，全分区扫描   索引量	适量	多   访问方式	按索引访问	全表扫描   连接方式	Nested_loop	Hash Join   BIND变量	使用或强制使用	不使用   并行技术	使用不多	大量使用   分区技术	使用，但目标不同	使用，但目标不同   物化视图使用	少量使用	大量使用   大多数系统是联机业务和批处理相结合的混合系统。例如白天主要是联机业务，夜间主要是批处理业务。因此，首先建议对业务系统进行联机业务和批处理业务的特征分析，并针对不同业务模块，提出针对性的技术运用策略。   下面将在应用设计开发的详细规范和策略上，对上述相关技术的应用进行详细描述。"
Oracle数据库中语句的执行过程是如何进行的？,
在Oracle数据库中，如何实现一个语句的执行？,
Oracle数据库执行语句的过程中，涉及到哪些关键步骤？,
Oracle数据库是如何处理和执行语句的？,
请解析一下Oracle数据库中语句执行的基本原理是什么？,
为什么应用程序不应该使用Oracle关键字？,应用对象，变量等不要使用ORACLE 的关键字和保留字   Oracle的关键字和保留字可以参见视图V$RESERVED_WORDS。
如果在应用中请使用Oracle关键字会带来什么后果？,应用对象，变量等不要使用ORACLE 的关键字和保留字   Oracle的关键字和保留字可以参见视图V$RESERVED_WORDS。
有哪些有效的策略可以避免在应用中使用Oracle关键字？,应用对象，变量等不要使用ORACLE 的关键字和保留字   Oracle的关键字和保留字可以参见视图V$RESERVED_WORDS。
是什么原因导致Oracle关键字在应用中被禁用？,应用对象，变量等不要使用ORACLE 的关键字和保留字   Oracle的关键字和保留字可以参见视图V$RESERVED_WORDS。
如何在编程时检查并避免使用Oracle关键字？,应用对象，变量等不要使用ORACLE 的关键字和保留字   Oracle的关键字和保留字可以参见视图V$RESERVED_WORDS。
大小写在语法中的作用是什么？,对象大小写风格保持一致
什么情况下应该使用大写？,对象大小写风格保持一致
如何正确地使用大小写？,对象大小写风格保持一致
英文中大小写的错用会有什么影响？,对象大小写风格保持一致
在编程中，大小写的重要性体现在哪些方面？,对象大小写风格保持一致
缩进和对齐具体是指什么？,建议缩进和对齐，以空格而不是tab键对齐，因为在不同地方，tab键的位置不一定完全一致。
缩进和对齐在文本编辑中有什么重要性？,建议缩进和对齐，以空格而不是tab键对齐，因为在不同地方，tab键的位置不一定完全一致。
如何在word文档中实现缩进和对齐？,建议缩进和对齐，以空格而不是tab键对齐，因为在不同地方，tab键的位置不一定完全一致。
在编程语言中，缩进和对齐有什么影响？,建议缩进和对齐，以空格而不是tab键对齐，因为在不同地方，tab键的位置不一定完全一致。
缩进和对齐的标准是什么？,建议缩进和对齐，以空格而不是tab键对齐，因为在不同地方，tab键的位置不一定完全一致。
如何正确地选择适合的ORACLE优化器？,在oracle 19c中，推荐使用CBO，rule已经是oracle不支持的优化器了
选择ORACLE优化器的过程中需要考虑哪些因素？,在oracle 19c中，推荐使用CBO，rule已经是oracle不支持的优化器了
ORACLE优化器的主要功能和优点是什么？,在oracle 19c中，推荐使用CBO，rule已经是oracle不支持的优化器了
在实际情况中，优化器的选择对ORACLE的运行性能有何影响？,在oracle 19c中，推荐使用CBO，rule已经是oracle不支持的优化器了
如果选择不适合的ORACLE优化器，将会产生什么问题，如何避免？,在oracle 19c中，推荐使用CBO，rule已经是oracle不支持的优化器了
什么是访问路径的选择？,索引和全表扫描的选择，哪种方法更优，主要取决于返回记录和全表记录的比例，以及索引和表数据的对应关系。   通常的测试经验，对于未按照索引列的进行排序的表，返回结果集在10%以内，索引才优于全表扫描。   所以索引通常更加适用于返回结果占比很小的OLTP系统。   而全表扫描则更加适合需要访问大量数据的批量和报表系统。
如何选择合适的访问路径？,索引和全表扫描的选择，哪种方法更优，主要取决于返回记录和全表记录的比例，以及索引和表数据的对应关系。   通常的测试经验，对于未按照索引列的进行排序的表，返回结果集在10%以内，索引才优于全表扫描。   所以索引通常更加适用于返回结果占比很小的OLTP系统。   而全表扫描则更加适合需要访问大量数据的批量和报表系统。
访问路径的选择有何重要性？,索引和全表扫描的选择，哪种方法更优，主要取决于返回记录和全表记录的比例，以及索引和表数据的对应关系。   通常的测试经验，对于未按照索引列的进行排序的表，返回结果集在10%以内，索引才优于全表扫描。   所以索引通常更加适用于返回结果占比很小的OLTP系统。   而全表扫描则更加适合需要访问大量数据的批量和报表系统。
在选择访问路径时，需要考虑哪些因素？,索引和全表扫描的选择，哪种方法更优，主要取决于返回记录和全表记录的比例，以及索引和表数据的对应关系。   通常的测试经验，对于未按照索引列的进行排序的表，返回结果集在10%以内，索引才优于全表扫描。   所以索引通常更加适用于返回结果占比很小的OLTP系统。   而全表扫描则更加适合需要访问大量数据的批量和报表系统。
访问路径选择的错误可能导致哪些问题？,索引和全表扫描的选择，哪种方法更优，主要取决于返回记录和全表记录的比例，以及索引和表数据的对应关系。   通常的测试经验，对于未按照索引列的进行排序的表，返回结果集在10%以内，索引才优于全表扫描。   所以索引通常更加适用于返回结果占比很小的OLTP系统。   而全表扫描则更加适合需要访问大量数据的批量和报表系统。
为什么尽可能不要在列上使用函数？,"在列上做进行函数计算，会导致无法使用索引   错误写法:   where to_char(insert_time, 'yyyymmdd') >= '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   错误写法:   where to_char(insert_time, 'yyyymmdd') = '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   and insert_time < to_date('20170509','yyyymmdd');"
在列上使用函数可能会引发什么问题？,"在列上做进行函数计算，会导致无法使用索引   错误写法:   where to_char(insert_time, 'yyyymmdd') >= '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   错误写法:   where to_char(insert_time, 'yyyymmdd') = '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   and insert_time < to_date('20170509','yyyymmdd');"
如何避免在列上使用函数？,"在列上做进行函数计算，会导致无法使用索引   错误写法:   where to_char(insert_time, 'yyyymmdd') >= '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   错误写法:   where to_char(insert_time, 'yyyymmdd') = '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   and insert_time < to_date('20170509','yyyymmdd');"
如果必须在列上使用函数，有哪些应注意的点？,"在列上做进行函数计算，会导致无法使用索引   错误写法:   where to_char(insert_time, 'yyyymmdd') >= '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   错误写法:   where to_char(insert_time, 'yyyymmdd') = '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   and insert_time < to_date('20170509','yyyymmdd');"
在列上使用函数的原理是什么？,"在列上做进行函数计算，会导致无法使用索引   错误写法:   where to_char(insert_time, 'yyyymmdd') >= '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   错误写法:   where to_char(insert_time, 'yyyymmdd') = '20170508'   正确写法:   where insert_time >= to_date('20170508','yyyymmdd')   and insert_time < to_date('20170509','yyyymmdd');"
为什么不应该在列上进行运算？,错误写法:   insert_time +7 >= sysdate   正确写法:   insert_time >= sysdate -7
在列上进行运算将会导致什么后果？,错误写法:   insert_time +7 >= sysdate   正确写法:   insert_time >= sysdate -7
我们如何避免在列上进行运算？,错误写法:   insert_time +7 >= sysdate   正确写法:   insert_time >= sysdate -7
如果在列上进行运算，可能会引发什么问题？,错误写法:   insert_time +7 >= sysdate   正确写法:   insert_time >= sysdate -7
你能详细解释不在列上进行运算的原因吗？,错误写法:   insert_time +7 >= sysdate   正确写法:   insert_time >= sysdate -7
什么是带通配符（%）的like语句？,%在硬编码值前面索引就不会使用。   不使用索引   Select * from ac01 where aac002 like '%210104';   使用索引   Select * from ac01 where aac002 like '210104%';
带通配符（%）的like语句是如何工作的？,%在硬编码值前面索引就不会使用。   不使用索引   Select * from ac01 where aac002 like '%210104';   使用索引   Select * from ac01 where aac002 like '210104%';
在什么情况下我们需要使用带通配符（%）的like语句？,%在硬编码值前面索引就不会使用。   不使用索引   Select * from ac01 where aac002 like '%210104';   使用索引   Select * from ac01 where aac002 like '210104%';
如何在数据库查询中正确使用带通配符（%）的like语句？,%在硬编码值前面索引就不会使用。   不使用索引   Select * from ac01 where aac002 like '%210104';   使用索引   Select * from ac01 where aac002 like '210104%';
带通配符（%）的like语句与普通的like语句有什么区别？,%在硬编码值前面索引就不会使用。   不使用索引   Select * from ac01 where aac002 like '%210104';   使用索引   Select * from ac01 where aac002 like '210104%';
为什么我们应尽可能避免在索引列上使用NOT？,"避免在索引列上使用NOT, NOT不会使查询条件使用索引。对于!=这样的判断也是不能使用索引的，索引只能告诉你什么存在于表中, 而不能告诉你什么不存在于表中   低效: (不使用索引)   select *   From ac02   Where not aab019='10';   高效: (这里,使用了索引)   select *   From ac02   Where aab019 in ('20','30');"
什么情况下我们会考虑在索引列上使用NOT？,"避免在索引列上使用NOT, NOT不会使查询条件使用索引。对于!=这样的判断也是不能使用索引的，索引只能告诉你什么存在于表中, 而不能告诉你什么不存在于表中   低效: (不使用索引)   select *   From ac02   Where not aab019='10';   高效: (这里,使用了索引)   select *   From ac02   Where aab019 in ('20','30');"
使用NOT在索引列上会造成什么样的影响？,"避免在索引列上使用NOT, NOT不会使查询条件使用索引。对于!=这样的判断也是不能使用索引的，索引只能告诉你什么存在于表中, 而不能告诉你什么不存在于表中   低效: (不使用索引)   select *   From ac02   Where not aab019='10';   高效: (这里,使用了索引)   select *   From ac02   Where aab019 in ('20','30');"
如果必须在索引列上使用NOT，应如何最有效地实现？,"避免在索引列上使用NOT, NOT不会使查询条件使用索引。对于!=这样的判断也是不能使用索引的，索引只能告诉你什么存在于表中, 而不能告诉你什么不存在于表中   低效: (不使用索引)   select *   From ac02   Where not aab019='10';   高效: (这里,使用了索引)   select *   From ac02   Where aab019 in ('20','30');"
在索引列上使用NOT的操作原理是什么?,"避免在索引列上使用NOT, NOT不会使查询条件使用索引。对于!=这样的判断也是不能使用索引的，索引只能告诉你什么存在于表中, 而不能告诉你什么不存在于表中   低效: (不使用索引)   select *   From ac02   Where not aab019='10';   高效: (这里,使用了索引)   select *   From ac02   Where aab019 in ('20','30');"
如何理解使用DECODE函数来减少处理时间？,使用DECODE函数可以避免重复扫描相同记录或重复连接相同的表.
使用DECODE函数具体是如何减少处理时间的？,使用DECODE函数可以避免重复扫描相同记录或重复连接相同的表.
